Food,Quantity,Units,Price,Year,FCD_id
white flour,1,pound ,0.54,2023,
rice long grain ,1,pound ,0.97,2023,
spaghetti ,1,pound ,1.475,2023,
white bread,1,pound ,1.888,2023,
whole wheat bread ,1,pound ,2.451,2023,
chocolate chip cookie ,1,pound ,5.508,2023,
ground chuck beef ,1,pound ,4.644,2023,
ground beef ,1,pound ,4.791,2023,
lean ground beef ,1,pound ,6.393,2023,
stew beef ,1,pound ,6.773,2023,
"steak, round",1,pound ,7.272,2023,
"steak, sirloin",1,pound ,10.313,2023,
bacon,1,pound ,6.808,2023,
pork chops ,1,pound ,4.573,2023,
ham,1,pound ,5.484,2023,
"chicken legs, bone-in",1,pound ,1.869,2023,
grade A eggs ,12,egg,4.823,2023,
whole milk ,1,gallon ,4.204,2023,
american cheese ,1,pound ,4.724,2023,
cheddar cheese ,1,pound ,5.946,2023,
"ice cream, regular, bulk ",0.5,pound ,5.809,2023,
white sugar ,1,pound ,0.86,2023,
ground coffee ,1,pound ,6.358,2023,
potato chip ,16,oz,6.238,2023,
"chicken breast, boneless ",1,pound ,4.315,2023,
low-fat milk,1,gallon ,3.817,2023,
"yogurt, whole-fat plain ",8,oz,1.476,2023,
"butter, stick ",1,pound,4.882,2023,
acorn squash ,1,pound ,1.241,2023,
"artichoke, fresh ",1,pound,2.505,2023,
"artichoke, canned",1,pound ,3.505,2023,
"asparagus, fresh ",1,pound,3.212,2023,
"asparagus, canned",1,pound ,3.676,2023,
"asparagus, frozen",1,pound,6.78,2023,
avacado ,1,pound ,2.262,2023,
"beets, canned ",1,pound,1.258,2023,
"black beans, canned",1,pound ,1.3063,2023,
"black beans, dried",1,pound,1.6585,2023,
"blackeye peas, canned",1,pound ,1.42085,2023,
"blackeye peas, dried ",1,pound,2.126,2023,
"broccoli florets, fresh ",1,pound ,3.083,2023,
"broccoli heads, fresh ",1,pound,3.02355,2023,
"broccoli, frozen ",1,pound ,2.5725,2023,
"brussels sprouts, fresh ",1,pound,3.0395,2023,
"brussels sprouts, frozen ",1,pound ,2.885,2023,
butternut squash,1,pound,1.2709,2023,
green cabbage ,1,pound ,0.8266,2023,
red cabbage ,1,pound,1.261,2023,
"sauerkraut, canned ",1,pound ,1.63,2023,
"carrots, whole, fresh ",1,pound,1.006,2023,
"carrots, canned",1,pound ,1.32,2023,
"carrots, frozen ",1,pound,3.9713,2023,
cauliflower florets ,1,pound ,2.1244,2023,
cauliflower heads  ,1,pound,2.7191,2023,
"cauliflower, frozen ",1,pound ,1.3278,2023,
celery ,1,pound,2.6502,2023,
"collard greens, fresh ",1,pound ,1.4162,2023,
"collard greens, frozen ",1,pound,2.7239,2023,
"corn, fresh ",1,pound ,2.1027,2023,
"corn, canned ",1,pound,1.21878,2023,
"corn, frozen ",1,pound ,1.825,2023,
"Cucumbers, fresh ",1,pound,1.092848382,2023,
"Great northern beans, canned",1,pound ,1.167251314,2023,
"Great northern beans, dried",1,pound,1.872836969,2023,
"Green beans, fresh",1,pound ,2.659189993,2023,
"Green beans, canned",1,pound,1.182933022,2023,
"Green beans, frozen ",1,pound ,2.173343764,2023,
"Green peas, canned",1,pound,1.421894276,2023,
"Green peas, frozen ",1,pound ,2.191018173,2023,
Green peppers,1,pound,1.503334589,2023,
"Kale, fresh ",1,pound ,3.57112371,2023,
"Kale, frozen ",1,pound,2.28053379,2023,
"Kidney beans, canned ",1,pound ,1.199920223,2023,
"Kidney beans, dried",1,pound,1.99633282,2023,
Lentils,1,pound ,1.957697337,2023,
"Lettuce, iceberg",1,pound,1.478386411,2023,
"Lettuce, romaine, heads",1,pound ,2.43850297,2023,
"Lettuce, romaine, hearts",1,pound,3.029270006,2023,
"Lima beans, canned",1,pound ,1.627066597,2023,
"Lima beans, frozen ",1,pound,2.834837939,2023,
"Lima beans, dried",1,pound ,2.654307766,2023,
canned mixed vegetables: peas and carrots,1,pound,1.613335486,2023,
frozen mixed vegetables: peas and carrots,1,pound ,2.058864926,2023,
"frozen mixed vegetables: carrots, peas, corn, and green beans",1,pound,1.919265369,2023,
"frozen mixed vegetables: broccoli, cauliflower, and carrots",1,pound ,2.374324338,2023,
"Mushrooms, whole",1,pound,4.154521771,2023,
"Mushrooms, pre-sliced",1,pound ,4.006266272,2023,
"Mustard greens, canned",1,pound,1.414656693,2023,
"Mustard greens, frozen",1,pound ,2.920188174,2023,
"Navy beans, canned",1,pound,1.234459073,2023,
"Navy beans, dried",1,pound ,1.705845988,2023,
"Okra, fresh ",1,pound,5.680314126,2023,
"Okra, frozen ",1,pound ,2.652850328,2023,
"Olives, canned",1,pound,5.989003318,2023,
"Onions, fresh ",1,pound ,1.062206305,2023,
"Pinto beans, canned ",1,pound,1.2121028,2023,
"Pinto beans, dried ",1,pound ,1.502439243,2023,
"Potatoes, fresh ",1,pound,0.921544199,2023,
"Potatoes, french fries",1,pound ,2.520906337,2023,
"Potatoes, canned",1,pound,1.103743481,2023,
"Pumpkin, canned",1,pound ,2.080888289,2023,
Radish,1,pound,1.850976729,2023,
Red bell peppers,1,pound ,1.705233347,2023,
"Spinach, fresh ",1,pound,4.500420718,2023,
"Spinach, canned ",1,pound ,1.670872006,2023,
"Spinach, frozen ",1,pound,2.468972167,2023,
"Sweet potatoes, fresh ",1,pound ,1.164626523,2023,
"Tomatoes, grape and cherry",1,pound,4.155557011,2023,
"Tomatoes, Roma and plum",1,pound ,1.235007071,2023,
"Tomatoes, large round",1,pound,2.142409751,2023,
"Tomatoes, canned ",1,pound ,1.208159726,2023,
"Turnip greens, fresh ",1,pound,2.972110955,2023,
"Turnip greens, canned ",1,pound ,1.397443153,2023,
"Turnip greens, fresh ",1,pound,2.919789615,2023,
"Zucchini, fresh ",1,pound ,1.639076186,2023,
Apples,1,pound ,1.86093095,2023,
applesauce,1,pound,1.208099427,2023,
Apple juice ,16,oz ,0.951115064,2023,
"Apples, frozen juice concentrate",16,oz,2.668334171,2023,
"Apricots, fresh ",1,pound ,3.803731821,2023,
"Apricots, canned",1,pound,2.107757083,2023,
"Apricots, dried",1,pound ,8.634283691,2023,
Bananas,1,pound,0.609594742,2023,
"Berries, mixed, frozen ",1,pound ,4.448419152,2023,
"Blackberries, fresh ",1,pound,6.83446877,2023,
"Blackberries, frozen ",1,pound ,4.705827184,2023,
"Blueberries, fresh ",1,pound,5.132473096,2023,
"Blueberries, frozen ",1,pound ,4.199260815,2023,
"Cantaloupe, fresh ",1,pound,0.791924175,2023,
"Cherries, fresh ",1,pound ,3.659903242,2023,
"Cherries, canned ",1,pound,6.308314259,2023,
"Clementines, fresh ",1,pound ,1.58557324,2023,
"Cranberries, dried ",1,pound,5.263878609,2023,
"Dates, dried",1,pound ,5.88786111,2023,
"Figs, dried ",1,pound,8.049055012,2023,
"Fruit cocktail, in juice",1,pound ,2.650530966,2023,
"Fruit cocktail, in syrup or water",1,pound,2.312737347,2023,
Grapefruit,1,pound ,1.395775718,2023,
"Grapefruit, juice",16,oz,1.21936719,2023,
Grapes,1,pound,2.248436594,2023,
raisins,1,pound ,4.328343983,2023,
Grape juice ,16,oz,1.153972604,2023,
"Grapes, frozen juice concentrate",16,oz,3.295747122,2023,
Honeydew,1,pound,1.250052787,2023,
Kiwi,1,pound ,2.834707401,2023,
"Mangoes, fresh ",1,pound,1.458675758,2023,
"Mangoes, dried",1,pound ,10.10968525,2023,
Nectarines,1,pound,2.475306142,2023,
Oranges,1,pound ,1.439704016,2023,
Orange juice,16,oz,1.154882364,2023,
"Orange, frozen juice concentrate",1,oz,3.401422791,2023,
"Papaya, fresh ",16,pound,1.305512939,2023,
"Papaya, dried",1,pound ,8.174637154,2023,
"Peaches, fresh ",1,pound,2.457099438,2023,
"Peach, canned in juice",1,pound ,2.486758071,2023,
"Peaches, canned in syrup ",1,pound,2.211851186,2023,
"Peaches, frozen ",1,pound ,3.759783663,2023,
"Pears, fresh ",1,pound,1.916739424,2023,
"Pears, canned in juice",1,pound ,2.329038064,2023,
"Pears, canned in syrup ",1,pound,2.316963272,2023,
"Pineapple, fresh ",1,pound ,0.668427034,2023,
"Pineapple, canned in juice",1,pound ,1.721465817,2023,
"Pineapple, canned in syrup",1,pound,1.82757447,2023,
"Pineapple, dried",1,pound ,7.947966878,2023,
Pineapple juice,16,oz,1.374156691,2023,
"Pineapple, frozen juice concentrate",16,oz,3.039046885,2023,
"Plum, fresh ",1,pound,2.658223036,2023,
"Plum (prunes), dried",1,pound ,6.906399803,2023,
Plum (prune) juice ,16,oz,1.794818097,2023,
"Pomegranate, fresh ",1,pound ,2.475577389,2023,
Pomegranate juice,16,oz,3.187428646,2023,
"Raspberries, fresh ",1,pound ,7.966754529,2023,
"Raspberries, frozen ",1,pound,6.209611042,2023,
"Strawberries, fresh ",1,pound ,3.078734363,2023,
"Strawberries, frozen ",1,pound,3.46750705,2023,
Watermelon,1,pound ,0.405825415,2023,