Food,Quantity,Units,Price,Year,FCD_id,FDC_match,FDC_type
white flour,1.0,pound ,0.54,2023,790146,,
rice long grain ,1.0,pound ,0.97,2023,169756,,
spaghetti ,1.0,pound ,1.475,2023,2099117,,
white bread,1.0,pound ,1.888,2023,2456464,,
whole wheat bread ,1.0,pound ,2.451,2023,2286812,,
chocolate chip cookie ,1.0,pound ,5.508,2023,2707909,,
ground chuck beef ,1.0,pound ,4.644,2023,2705825,,
ground beef ,1.0,pound ,4.791,2023,1942314,,
lean ground beef ,1.0,pound ,6.393,2023,1888309,,
stew beef ,1.0,pound ,6.773,2023,173330,,
"steak, round",1.0,pound ,7.272,2023,172128,,
"steak, sirloin",1.0,pound ,10.313,2023,2727574,,
bacon,1.0,pound ,6.808,2023,2128991,,
pork chops ,1.0,pound ,4.573,2023,2727575,,
ham,1.0,pound ,5.484,2023,2705878,,
"chicken legs, bone-in",1.0,pound ,1.869,2023,171077,,
grade A eggs ,12.0,egg,4.823,2023,747997,,
whole milk ,1.0,gallon ,4.204,2023,2616918,,
american cheese ,1.0,pound ,4.724,2023,2054688,,
cheddar cheese ,1.0,pound ,5.946,2023,2057648,,
"ice cream, regular, bulk ",0.5,pound ,5.809,2023,170270,,
white sugar ,1.0,pound ,0.86,2023,2710258,,
ground coffee ,1.0,pound ,6.358,2023,171890,,
potato chip ,16.0,oz,6.238,2023,2037028,,
"chicken breast, boneless ",1.0,pound ,4.315,2023,2646170,,
low-fat milk,1.0,gallon ,3.817,2023,2705387,,
"yogurt, whole-fat plain ",8.0,oz,1.476,2023,2259793,,
"butter, stick ",1.0,pound,4.882,2023,790508,,
acorn squash ,1.0,pound ,1.241,2023,2685571,,
"artichoke, fresh ",1.0,pound,2.505,2023,169236,,
"artichoke, canned",1.0,pound ,3.505,2023,169986,,
"asparagus, fresh ",1.0,pound,3.212,2023,168389,,
"asparagus, canned",1.0,pound ,3.676,2023,169207,,
"asparagus, frozen",1.0,pound,6.78,2023,169208,,
avocado,1.0,pound ,2.262,2023,171706,,
"beets, canned ",1.0,pound,1.258,2023,169966,,
"black beans, canned",1.0,pound ,1.3063,2023,175200,,
"black beans, dried",1.0,pound,1.6585,2023,173735,,
"blackeye peas, canned",1.0,pound ,1.42085,2023,174265,,
"blackeye peas, dried ",1.0,pound,2.126,2023,173757,,
"broccoli florets, fresh ",1.0,pound ,3.083,2023,170379,,
"broccoli heads, fresh ",1.0,pound,3.02355,2023,170379,,
"broccoli, frozen ",1.0,pound ,2.5725,2023,169968,,
"brussels sprouts, fresh ",1.0,pound,3.0395,2023,2685575,,
"brussels sprouts, frozen ",1.0,pound ,2.885,2023,2685575,,
butternut squash,1.0,pound,1.2709,2023,477450,,
green cabbage ,1.0,pound ,0.8266,2023,2346407,,
red cabbage ,1.0,pound,1.261,2023,2406937,,
"sauerkraut, canned ",1.0,pound ,1.63,2023,169279,,
"carrots, whole, fresh ",1.0,pound,1.006,2023,173735,,
"carrots, canned",1.0,pound ,1.32,2023,169993,,
"carrots, frozen ",1.0,pound,3.9713,2023,746764,,
cauliflower florets ,1.0,pound ,2.1244,2023,2065123,,
cauliflower heads  ,1.0,pound,2.7191,2023,2685573,,
"cauliflower, frozen ",1.0,pound ,1.3278,2023,170398,,
celery ,1.0,pound,2.6502,2023,2709778,,
"collard greens, fresh ",1.0,pound ,1.4162,2023,170406,,
"collard greens, frozen ",1.0,pound,2.7239,2023,173701,,
"corn, fresh ",1.0,pound ,2.1027,2023,170379,,
"corn, canned ",1.0,pound,1.21878,2023,169970,,
"corn, frozen ",1.0,pound ,1.825,2023,171457,,
"Cucumbers, fresh ",1.0,pound,1.092848382,2023,171120,,
"Great northern beans, canned",1.0,pound ,1.167251314,2023,2644294,,
"Great northern beans, dried",1.0,pound,1.872836969,2023,747446,,
"Green beans, fresh",1.0,pound ,2.659189993,2023,170387,,
"Green beans, canned",1.0,pound,1.182933022,2023,169974,,
"Green beans, frozen ",1.0,pound ,2.173343764,2023,171467,,
"Green peas, canned",1.0,pound,1.421894276,2023,169983,,
"Green peas, frozen ",1.0,pound ,2.191018173,2023,170105,,
Green peppers,1.0,pound,1.503334589,2023,2258588,,
"Kale, fresh ",1.0,pound ,3.57112371,2023,323505,,
"Kale, frozen ",1.0,pound,2.28053379,2023,169239,,
"Kidney beans, canned ",1.0,pound ,1.199920223,2023,173741,,
"Kidney beans, dried",1.0,pound,1.99633282,2023,173743,,
Lentils,1.0,pound ,1.957697337,2023,2404278,,
"Lettuce, iceberg",1.0,pound,1.478386411,2023,2346388,,
"Lettuce, romaine, heads",1.0,pound ,2.43850297,2023,746769,,
"Lettuce, romaine, hearts",1.0,pound,3.029270006,2023,169247,,
"Lima beans, canned",1.0,pound ,1.627066597,2023,174254,,
"Lima beans, frozen ",1.0,pound,2.834837939,2023,169955,,
"Lima beans, dried",1.0,pound ,2.654307766,2023,173770,,
canned mixed vegetables: peas and carrots,1.0,pound,1.613335486,2023,169981,,
frozen mixed vegetables: peas and carrots,1.0,pound ,2.058864926,2023,171470,,
"frozen mixed vegetables: carrots, peas, corn, and green beans",1.0,pound,1.919265369,2023,171472,,
"frozen mixed vegetables: broccoli, cauliflower, and carrots",1.0,pound ,2.374324338,2023,171473,,
"Mushrooms, whole",1.0,pound,4.154521771,2023,1127,,
"Mushrooms, pre-sliced",1.0,pound ,4.006266272,2023,1128,,
"Mustard greens, canned",1.0,pound,1.414656693,2023,169998,,
"Mustard greens, frozen",1.0,pound ,2.920188174,2023,169258,,
"Navy beans, canned",1.0,pound,1.234459073,2023,2644286,,
"Navy beans, dried",1.0,pound ,1.705845988,2023,747441,,
"Okra, fresh ",1.0,pound,5.680314126,2023,169260,,
"Okra, frozen ",1.0,pound ,2.652850328,2023,169262,,
"Olives, canned",1.0,pound,5.989003318,2023,15126,,
"Onions, fresh ",1.0,pound ,1.062206305,2023,11282,,
"Pinto beans, canned ",1.0,pound,1.2121028,2023,170157,,
"Pinto beans, dried ",1.0,pound ,1.502439243,2023,173749,,
"Potatoes, fresh ",1.0,pound,0.921544199,2023,11362,,
"Potatoes, french fries",1.0,pound ,2.520906337,2023,11321,,
"Potatoes, canned",1.0,pound,1.103743481,2023,170444,,
"Pumpkin, canned",1.0,pound ,2.080888289,2023,11419,,
Radish,1.0,pound,1.850976729,2023,169276,,
Red bell peppers,1.0,pound ,1.705233347,2023,2258590,,
"Spinach, fresh ",1.0,pound,4.500420718,2023,11457,,
"Spinach, canned ",1.0,pound ,1.670872006,2023,170123,,
"Spinach, frozen ",1.0,pound,2.468972167,2023,170124,,
"Sweet potatoes, fresh ",1.0,pound ,1.164626523,2023,11457,,
"Tomatoes, grape and cherry",1.0,pound,4.155557011,2023,321360,,
"Tomatoes, Roma and plum",1.0,pound ,1.235007071,2023,1999634,,
"Tomatoes, large round",1.0,pound,2.142409751,2023,11529,,
"Tomatoes, canned ",1.0,pound ,1.208159726,2023,11547,,
"Turnip greens, fresh ",1.0,pound,2.972110955,2023,11482,,
"Turnip greens, canned ",1.0,pound ,1.397443153,2023,168119,,
"Turnip greens, frozen",1.0,pound,2.919789615,2023,170470,,
"Zucchini, fresh ",1.0,pound ,1.639076186,2023,168565,,
Apples,1.0,pound ,1.86093095,2023,1545857,,
applesauce,1.0,pound,1.208099427,2023,2031718,,
Apple juice ,16.0,oz ,0.951115064,2023,2103028,,
"Apples, frozen juice concentrate",16.0,oz,2.668334171,2023,9012,,
"Apricots, fresh ",1.0,pound ,3.803731821,2023,171697,,
"Apricots, canned",1.0,pound,2.107757083,2023,167768,,
"Apricots, dried",1.0,pound ,8.634283691,2023,173941,,
Bananas,1.0,pound,0.609594742,2023,9040,,
"Berries, mixed, frozen ",1.0,pound ,4.448419152,2023,9163,,
"Blackberries, fresh ",1.0,pound,6.83446877,2023,2727581,,
"Blackberries, frozen ",1.0,pound ,4.705827184,2023,9163,,
"Blueberries, fresh ",1.0,pound,5.132473096,2023,9050,,
"Blueberries, frozen ",1.0,pound ,4.199260815,2023,173951,,
"Cantaloupe, fresh ",1.0,pound,0.791924175,2023,746770,,
"Cherries, fresh ",1.0,pound ,3.659903242,2023,9223,,
"Cherries, canned ",1.0,pound,6.308314259,2023,167766,,
"Clementines, fresh ",1.0,pound ,1.58557324,2023,168195,,
"Cranberries, dried ",1.0,pound,5.263878609,2023,171723,,
"Dates, dried",1.0,pound ,5.88786111,2023,168191,,
"Figs, dried ",1.0,pound,8.049055012,2023,746768,,
"Fruit cocktail, in juice",1.0,pound ,2.650530966,2023,9256,,
"Fruit cocktail, in syrup or water",1.0,pound,2.312737347,2023,9257,,
Grapefruit,1.0,pound ,1.395775718,2023,2709165,,
"Grapefruit, juice",16.0,oz,1.21936719,2023,167774,,
Grapes,1.0,pound,2.248436594,2023,9123,,
raisins,1.0,pound ,4.328343983,2023,2709212,,
Grape juice ,16.0,oz,1.153972604,2023,2709325,,
"Grapes, frozen juice concentrate",16.0,oz,3.295747122,2023,9220,,
Honeydew,1.0,pound,1.250052787,2023,2710816,,
Kiwi,1.0,pound ,2.834707401,2023,2709239,,
"Mangoes, fresh ",1.0,pound,1.458675758,2023,9143,,
"Mangoes, dried",1.0,pound ,10.10968525,2023,169091,,
Nectarines,1.0,pound,2.475306142,2023,327357,,
Oranges,1.0,pound ,1.439704016,2023,9205,,
Orange juice,16.0,oz,1.154882364,2023,2098640,,
"Orange, frozen juice concentrate",16.0,oz,3.401422791,2023,169923,,
"Papaya, fresh ",1.0,pound,1.305512939,2023,169926,,
"Papaya, dried",1.0,pound ,8.174637154,2023,9305,,
"Peaches, fresh ",1.0,pound,2.457099438,2023,9136,,
"Peach, canned in juice",1.0,pound ,2.486758071,2023,169930,,
"Peaches, canned in syrup ",1.0,pound,2.211851186,2023,168181,,
"Peaches, frozen ",1.0,pound ,3.759783663,2023,169116,,
"Pears, fresh ",1.0,pound,1.916739424,2023,169118,,
"Pears, canned in juice",1.0,pound ,2.329038064,2023,169936,,
"Pears, canned in syrup ",1.0,pound,2.316963272,2023,168182,,
"Pineapple, fresh ",1.0,pound ,0.668427034,2023,9212,,
"Pineapple, canned in juice",1.0,pound ,1.721465817,2023,167767,,
"Pineapple, canned in syrup",1.0,pound,1.82757447,2023,169944,,
"Pineapple, dried",1.0,pound ,7.947966878,2023,2709210,,
Pineapple juice,16.0,oz,1.374156691,2023,2009746,,
"Pineapple, frozen juice concentrate",16.0,oz,3.039046885,2023,169948,,
"Plum, fresh ",1.0,pound,2.658223036,2023,169949,,
"Plum (prunes), dried",1.0,pound ,6.906399803,2023,168162,,
Plum (prune) juice ,16.0,oz,1.794818097,2023,9288,,
"Pomegranate, fresh ",1.0,pound ,2.475577389,2023,169134,,
Pomegranate juice,16.0,oz,3.187428646,2023,167787,,
"Raspberries, fresh ",1.0,pound ,7.966754529,2023,9216,,
"Raspberries, frozen ",1.0,pound,6.209611042,2023,167757,,
"Strawberries, fresh ",1.0,pound ,3.078734363,2023,9209,,
"Strawberries, frozen ",1.0,pound,3.46750705,2023,168174,,
Watermelon,1.0,pound ,0.405825415,2023,2193119,,
